criterio,tipo_prueba,id_caso,descripcion,precondiciones,pasos,resultado_esperado
Navegación fluida y sin errores,Funcional,TC-015,Verificar que la navegación de la pantalla de bienvenida a la pantalla de login es fluida y no presenta errores.,La pantalla de bienvenida está visible y el botón 'Ingresar' es interactuable.,1. Hacer clic en el botón 'Ingresar'.,"La navegación a la pantalla de login ocurre sin retrasos excesivos, bloqueos, cierres inesperados de la aplicación o mensajes de error."
Rendimiento de carga de la pantalla,Usabilidad,TC-016,Verificar que la pantalla de bienvenida se carga en un tiempo aceptable para el usuario.,La aplicación está instalada y cerrada.,1. Iniciar la aplicación y cronometrar el tiempo hasta que la pantalla de bienvenida esté completamente visible y funcional.,La pantalla de bienvenida se carga y se muestra completamente en menos de 2 segundos (o el tiempo de carga definido como aceptable).
Legibilidad de los elementos de texto,Usabilidad,TC-017,"Verificar que todos los elementos de texto (botón, copyright, versión) son legibles y tienen un contraste adecuado.",La pantalla de bienvenida está visible.,"1. Observar el texto del botón 'Ingresar'.
2. Observar el texto de copyright.
3. Observar el texto de la versión de la aplicación.","Todos los textos son claramente legibles, con un tamaño de fuente adecuado y un contraste suficiente con el fondo."
Adaptabilidad de la interfaz de usuario (Orientación Vertical),Usabilidad,TC-018,Verificar que la pantalla de bienvenida se adapta correctamente a la orientación vertical del dispositivo.,La aplicación está abierta en la pantalla de bienvenida.,"1. Asegurarse de que el dispositivo está en orientación vertical.
2. Observar la pantalla de bienvenida.","Todos los elementos de la interfaz de usuario se muestran correctamente, sin superposiciones, recortes o alineaciones incorrectas en orientación vertical."
Adaptabilidad de la interfaz de usuario (Orientación Horizontal),Usabilidad,TC-019,Verificar que la pantalla de bienvenida se adapta correctamente a la orientación horizontal del dispositivo.,La aplicación está abierta en la pantalla de bienvenida.,"1. Girar el dispositivo a orientación horizontal.
2. Observar la pantalla de bienvenida.","Todos los elementos de la interfaz de usuario se muestran correctamente, sin superposiciones, recortes o alineaciones incorrectas en orientación horizontal."
Adaptabilidad a diferentes tamaños de pantalla,Usabilidad,TC-020,Verificar que la pantalla de bienvenida se adapta correctamente a diferentes tamaños y resoluciones de pantalla.,"La aplicación está instalada en dispositivos con diferentes tamaños de pantalla (ej. teléfono pequeño, tablet grande).","1. Iniciar la aplicación en un dispositivo con un tamaño de pantalla diferente.
2. Observar la pantalla de bienvenida.","La pantalla de bienvenida se muestra correctamente, con todos los elementos visibles y bien proporcionados, sin recortes o espacios en blanco excesivos, en diferentes tamaños de pantalla."
Ausencia de elementos UI inesperados,Usabilidad,TC-021,Verificar que no hay elementos de interfaz de usuario inesperados o glitches visuales en la pantalla de bienvenida.,La pantalla de bienvenida está visible.,1. Observar detenidamente toda la pantalla de bienvenida.,"No se observan elementos UI inesperados, superposiciones de texto/imágenes, artefactos gráficos, o cualquier otro glitch visual."
Transición desde la pantalla de carga (Splash Screen),Usabilidad,TC-022,Verificar que la transición desde la pantalla de carga (splash screen) a la pantalla de bienvenida es fluida.,"La aplicación está instalada y cerrada, y tiene una pantalla de carga inicial.",1. Iniciar la aplicación.,"La transición de la pantalla de carga a la pantalla de bienvenida es suave, sin parpadeos, congelamientos o saltos abruptos."
Comportamiento al pasar la aplicación a segundo plano y primer plano (Welcome Screen),Funcional,TC-023,Verificar que la aplicación mantiene el estado correcto de la pantalla de bienvenida al pasar a segundo plano y luego volver a primer plano.,La aplicación está abierta en la pantalla de bienvenida.,"1. Enviar la aplicación a segundo plano (ej. botón Home o cambiar de app).
2. Esperar unos segundos.
3. Volver a traer la aplicación a primer plano.","La aplicación vuelve a mostrar la pantalla de bienvenida en el mismo estado en que se dejó, sin reiniciar, recargar o mostrar errores."
Comportamiento al pasar la aplicación a segundo plano y primer plano (Login Screen),Funcional,TC-024,Verificar que la aplicación mantiene el estado correcto de la pantalla de login al pasar a segundo plano y luego volver a primer plano después de navegar desde la bienvenida.,Se ha navegado a la pantalla de login desde la pantalla de bienvenida.,"1. Enviar la aplicación a segundo plano desde la pantalla de login.
2. Esperar unos segundos.
3. Volver a traer la aplicación a primer plano.","La aplicación vuelve a mostrar la pantalla de login en el mismo estado en que se dejó, sin reiniciar, recargar o mostrar errores."
Comportamiento del botón/gesto de retroceso desde la pantalla de Login,Funcional,TC-025,Verificar el comportamiento del botón/gesto de retroceso del sistema operativo cuando se está en la pantalla de login (después de la bienvenida).,Se ha navegado a la pantalla de login desde la pantalla de bienvenida.,"1. Realizar la acción de retroceso del sistema operativo (ej. botón 'Atrás' en Android, gesto de retroceso en iOS).","La aplicación debe salir o cerrar la sesión (si aplica), o volver a la pantalla de bienvenida si se considera un flujo recurrente. No debe crashear ni mostrar un comportamiento inesperado. (Asumiendo que la pantalla de bienvenida es el punto de entrada, el comportamiento esperado es salir de la app o regresar a la bienvenida si es un flujo de navegación estándar)."
Estabilidad de la aplicación post-instalación/actualización,Regresión,TC-026,Verificar que la aplicación se lanza correctamente y muestra la pantalla de bienvenida después de una instalación limpia o una actualización.,"La aplicación ha sido desinstalada y reinstalada, o actualizada a una nueva versión.",1. Iniciar la aplicación después de una instalación/actualización.,La aplicación se inicia sin errores y la pantalla de bienvenida se muestra correctamente.
Impacto en funcionalidades existentes (si aplica),Regresión,TC-027,Verificar que la implementación de la nueva pantalla de bienvenida no ha introducido regresiones en funcionalidades existentes de la aplicación.,La nueva pantalla de bienvenida está implementada y funcional.,"1. Navegar por las funcionalidades principales de la aplicación (ej. si hay un menú, acceder a otras secciones).
2. Realizar una prueba rápida de las funcionalidades críticas (ej. si ya existe un login, intentar iniciar sesión desde la pantalla de login).","Todas las funcionalidades existentes de la aplicación operan como se espera, sin introducir nuevos errores o comportamientos inesperados."
